Phylum,Sub Phylum,Class,Order,Family,Species,Common Name,C-value,Chrom num,Method,Cell type,Std sp,References,References,References
Arthropoda,Crustacea,Copepoda,Calanoida,Clausocalanidae,Hesperodiaptomus shoshone,Calanoid copepod,3.11,,FD,EP,V,"Gregory, T.R., P.D.N. Hebert, and J. Kolasa (2000). Evolutionary implications of the relationship between genome size and body size in flatworms and copepods. Heredity 84: 201-208.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Clausocalanidae,Hesperodiaptomus sp.,Calanoid copepod,5.54,,FD,EP,V,"Gregory, T.R., P.D.N. Hebert, and J. Kolasa (2000). Evolutionary implications of the relationship between genome size and body size in flatworms and copepods. Heredity 84: 201-208.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Clausocalanidae,Hesperodiaptomus victoriaensis,Calanoid copepod,4.37,,FD,EP,V,"Gregory, T.R., P.D.N. Hebert, and J. Kolasa (2000). Evolutionary implications of the relationship between genome size and body size in flatworms and copepods. Heredity 84: 201-208.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Clausocalanidae,Leptodiaptomus tyrrelli,Calanoid copepod,1.33,,FD,EP,V,"Gregory, T.R., P.D.N. Hebert, and J. Kolasa (2000). Evolutionary implications of the relationship between genome size and body size in flatworms and copepods. Heredity 84: 201-208.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Clausocalanidae,Leptodiaptomus wilsonae,Calanoid copepod,3.25,,FD,EP,V,"Gregory, T.R., P.D.N. Hebert, and J. Kolasa (2000). Evolutionary implications of the relationship between genome size and body size in flatworms and copepods. Heredity 84: 201-208.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus acuspes,Calanoid copepod,3.43-4.37,,FD,SQ,GD,"Escribano, R., I.A. McLaren, and W.C.M. Klein Breteler (1992). Innate and acquired variation of nuclear DNA contents of marine copepods. Genome 35: 602-610.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus acuspes,Calanoid copepod,3.43,,FD,SQ,GD,"McLaren, I.A., J.-M. Sﾃｩvigny, and B.W. Frost (1989). Evolutionary and ecological significance of genome sizes in the copepod genus Pseudocalanus. Canadian Journal of Zoology 67: 565-569.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus elongatus,Calanoid copepod,3.50,,FD,SQ,GD,"Escribano, R., I.A. McLaren, and W.C.M. Klein Breteler (1992). Innate and acquired variation of nuclear DNA contents of marine copepods. Genome 35: 602-610.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus elongatus,Calanoid copepod,3.86,,FD,SQ,GD,"McLaren, I.A., J.-M. Sﾃｩvigny, and B.W. Frost (1989). Evolutionary and ecological significance of genome sizes in the copepod genus Pseudocalanus. Canadian Journal of Zoology 67: 565-569.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus major,Calanoid copepod,6.79,,FD,SQ,GD,"McLaren, I.A., J.-M. Sﾃｩvigny, and B.W. Frost (1989). Evolutionary and ecological significance of genome sizes in the copepod genus Pseudocalanus. Canadian Journal of Zoology 67: 565-569.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus minutus,Calanoid copepod,3.43,,FD,SQ,GD,"McLaren, I.A., J.-M. Sﾃｩvigny, and B.W. Frost (1989). Evolutionary and ecological significance of genome sizes in the copepod genus Pseudocalanus. Canadian Journal of Zoology 67: 565-569.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus moultoni,Calanoid copepod,4.37,,FD,SQ,GD,"McLaren, I.A., J.-M. Sﾃｩvigny, and B.W. Frost (1989). Evolutionary and ecological significance of genome sizes in the copepod genus Pseudocalanus. Canadian Journal of Zoology 67: 565-569.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus newmani,Calanoid copepod,2.25,,FD,SQ,GD,"McLaren, I.A., J.-M. Sﾃｩvigny, and B.W. Frost (1989). Evolutionary and ecological significance of genome sizes in the copepod genus Pseudocalanus. Canadian Journal of Zoology 67: 565-569.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Diaptomidae,Eodiaptomus wolterecki matanensis,Calanoid copepod,0.38,,FIA,WB,GD,"Vaillant, J.J., D.G. Bock, G.D. Haffner, and M.E. Cristescu (2013). Speciation patterns and processes in the zooplankton of the ancient lakes of Sulawesi Island, Indonesia. Ecology and Evolution 3: 3083-3094.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Diaptomidae,Eodiaptomus wolterecki wolterecki,Calanoid copepod,0.37,,FIA,WB,GD,"Vaillant, J.J., D.G. Bock, G.D. Haffner, and M.E. Cristescu (2013). Speciation patterns and processes in the zooplankton of the ancient lakes of Sulawesi Island, Indonesia. Ecology and Evolution 3: 3083-3094.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Diaptomidae,Neodiaptomus lymphatus,Calanoid copepod,0.34,,FIA,WB,GD,"Vaillant, J.J., D.G. Bock, G.D. Haffner, and M.E. Cristescu (2013). Speciation patterns and processes in the zooplankton of the ancient lakes of Sulawesi Island, Indonesia. Ecology and Evolution 3: 3083-3094.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Diaptomidae,Phyllodiaptomus sp.,Calanoid copepod,0.41,,FIA,WB,GD,"Vaillant, J.J., D.G. Bock, G.D. Haffner, and M.E. Cristescu (2013). Speciation patterns and processes in the zooplankton of the ancient lakes of Sulawesi Island, Indonesia. Ecology and Evolution 3: 3083-3094.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Euchaetidae,Paraeuchaeta norvegica,Calanoid copepod,14.68,,FCM,WB,GD,"Leinaas, H.P., M. Jalal, T.M. Gabrielsen, and D.O. Hessen (2016). Inter- and intraspecific variation in body- and genome size in calanoid copepods from temperate and arctic waters. Ecology and Evolution 6: 5585-5595.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Temoridae,Eurytemora affinis,Calanoid copepod,0.63,,FD,SQ,"GD, OM","Rasch, E.M. and G.A. Wyngaard (2001). Genome size in Eurytemora affinis, a calanoid copepod. Molecular Biology of the Cell 12: 212A.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Temoridae,Eurytemora composita,Calanoid copepod,0.79,,FD,EP,V,"Gregory, T.R., P.D.N. Hebert, and J. Kolasa (2000). Evolutionary implications of the relationship between genome size and body size in flatworms and copepods. Heredity 84: 201-208.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Temoridae,Heterocope septentrionalis,Calanoid copepod,5.45,,FD,EP,V,"Gregory, T.R., P.D.N. Hebert, and J. Kolasa (2000). Evolutionary implications of the relationship between genome size and body size in flatworms and copepods. Heredity 84: 201-208.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Temoridae,Temora longicornis,Calanoid copepod,1.31,,FD,SQ,GD,"White, M.M. and I.A. McLaren (2000). Copepod development rates in relation to genome size and 18S rDNA copy number. Genome 43: 750-755.",,
Arthropoda,Crustacea,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops robustus,Cyclopoid copepod,0.75,,FD,SQ,"GD, OM","Wyngaard, G.A. and E.M. Rasch (2000). Patterns of genome size in the Copepoda. Hydrobiologia 417: 43-56.",,
Arthropoda,Crustacea,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops vernalis,Cyclopoid copepod,0.75,6-10,FD,"EM, S",GD,"Grishanin, A.K., E.M. Rasch, S.I. Dodson, and G.A. Wyngaard (2005). Variability in genetic architecture of the cryptic species complex of Acanthocyclops vernalis (Copepoda).  I. Evidence from karyotypes, genome size, and ribosomal DNA sequences. Journal o",,
Arthropoda,Crustacea,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops vernalis,Cyclopoid copepod,0.75,,FD,WB,GD,"Grishanin, A.K., E.M. Rasch, S.I. Dodson, and G.A. Wyngaard (2005). Variability in genetic architecture of the cryptic species complex of Acanthocyclops vernalis (Copepoda). I. Evidence from karyotypes, genome size, and ribosomal DNA sequences. Journal of",,
Arthropoda,Crustacea,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops vernalis,Cyclopoid copepod,0.78,,FD,EP,V,P.D.N. Hebert. Unpublished Data,,
Arthropoda,Crustacea,Copepoda,Cyclopoida,Cyclopidae,Cyclops divulsus,Cyclopoid copepod,1.80,,FD,"WB, S",GD,"Beermann, S. (1977). The diminution of heterochromatic chromosomal segments in Cyclops (Crustacea, Copepoda). Chromosoma 60: 297-344.",,
Arthropoda,Crustacea,Copepoda,Cyclopoida,Cyclopidae,Cyclops furcifer,Cyclopoid copepod,1.40,,FD,"WB, S",GD,"Beermann, S. (1977). The diminution of heterochromatic chromosomal segments in Cyclops (Crustacea, Copepoda). Chromosoma 60: 297-344.",,
Arthropoda,Crustacea,Copepoda,Cyclopoida,Cyclopidae,Cyclops insignis,Cyclopoid copepod,3.41,,FIA,MC,GD,"Semeshin, V.F., L.V. Omelyanchuk, A.L. Alekseeva, E.A. Ivankina, N.G. Shevelyova, and I.F. Zhimulev (2011). DNA content in nuclei of Cyclops kolensis and Cyclops insignis (Crustacea, Copepoda). Cell and Tissue Biology 5: 300-304.",,
Arthropoda,Crustacea,Copepoda,Cyclopoida,Cyclopidae,Cyclops kolensis,Cyclopoid copepod,0.14,,FD,SQ,DM,"Grishanin, A.K., G.A. Khudolii, G.O. Shaikhaev, V.Y. Brodskii, V.B. Makarov, and A.P. Akif'ev (1996). Chromatin diminution in Cyclops kolensis (Copepoda, Crustacea) is a unique example of genetic engineering in nature. Russian Journal of Genetics 32: 424-",,
Arthropoda,Crustacea,Copepoda,Cyclopoida,Cyclopidae,Cyclops kolensis,Cyclopoid copepod,0.92,,FIA,MC,GD,"Semeshin, V.F., L.V. Omelyanchuk, A.L. Alekseeva, E.A. Ivankina, N.G. Shevelyova, and I.F. Zhimulev (2011). DNA content in nuclei of Cyclops kolensis and Cyclops insignis (Crustacea, Copepoda). Cell and Tissue Biology 5: 300-304.",,
Arthropoda,Crustacea,Copepoda,Cyclopoida,Cyclopidae,Cyclops strenuus,Cyclopoid copepod,0.18,,FD,SQ,DM,"Grishanin, A.K., G.A. Khudolii, G.O. Shaikhaev, V.Y. Brodskii, V.B. Makarov, and A.P. Akif'ev (1996). Chromatin diminution in Cyclops kolensis (Copepoda, Crustacea) is a unique example of genetic engineering in nature. Russian Journal of Genetics 32: 424-",,
Arthropoda,Crustacea,Copepoda,Cyclopoida,Cyclopidae,Cyclops strenuus,Cyclopoid copepod,0.86,,FD,SQ,"GD, OM","Rasch, E.M. and G.A. Wyngaard (1999). DNA levels prior to chromatin diminution in freshwater copepods (Crustacea). Molecular Biology of the Cell 10: 55A.","Wyngaard, G.A. and E.M. Rasch (2000). Patterns of genome size in the Copepoda. Hydrobiologia 417: 43-56.",
Arthropoda,Crustacea,Copepoda,Cyclopoida,Cyclopidae,Cyclops strenuus,Cyclopoid copepod,0.90,,FD,"WB, S",GD,"Beermann, S. (1977). The diminution of heterochromatic chromosomal segments in Cyclops (Crustacea, Copepoda). Chromosoma 60: 297-344.",,
Arthropoda,Crustacea,Copepoda,Cyclopoida,Cyclopidae,Diacyclops galbinus,Cyclopoid copepod,0.32,,FIA,MC,GD,"Ivankina, E.A., A.L. Alekseeva, V.F. Semeshin, L.V. Omelyanchuk, I.G. Palchikova, N.G. Sheveleva, S.V. Kirilchik, and I.F. Zhimulev (2013). Cytophotometric determination of genome size in two species of Cyclops of Lake Baikal (Crustacea: Copepoda, Cyclopo",,
Arthropoda,Crustacea,Copepoda,Cyclopoida,Cyclopidae,Macrocyclops albidus,Cyclopoid copepod,0.94,,FD,SQ,"GD, OM","Wyngaard, G.A. and E.M. Rasch (2000). Patterns of genome size in the Copepoda. Hydrobiologia 417: 43-56.",,
Arthropoda,Crustacea,Copepoda,Cyclopoida,Cyclopidae,Megacyclops latipes,Cyclopoid copepod,2.01,,FD,SQ,"GD, OM","Wyngaard, G.A. and E.M. Rasch (2000). Patterns of genome size in the Copepoda. Hydrobiologia 417: 43-56.",,
Arthropoda,Crustacea,Copepoda,Cyclopoida,Cyclopidae,Megacyclops latipes,Cyclopoid copepod,2.67,,FD,EP,V,P.D.N. Hebert. Unpublished Data,,
Arthropoda,Crustacea,Copepoda,Cyclopoida,Cyclopidae,Mesocyclops edax,Cyclopoid copepod,1.49,,FD,SQ,"GD, OM","Rasch, E.M. and G.A. Wyngaard (1993). Genome size in Mesocyclops edax (Copepoda). Molecular Biology of the Cell 4: 401A.","Rasch, E.M. and G.A. Wyngaard (1999). DNA levels prior to chromatin diminution in freshwater copepods (Crustacea). Molecular Biology of the Cell 10: 55A.","Wyngaard, G.A. and E.M. Rasch (2000). Patterns of genome size in the Copepoda. Hydrobiologia 417: 43-56."
Arthropoda,Crustacea,Copepoda,Cyclopoida,Cyclopidae,Mesocyclops leuckarti,Cyclopoid copepod,0.38,,FD,SQ,"GD, OM","Wyngaard, G.A. and E.M. Rasch (2000). Patterns of genome size in the Copepoda. Hydrobiologia 417: 43-56.",,
Arthropoda,Crustacea,Copepoda,Cyclopoida,Cyclopidae,Mesocyclops leuckarti,Cyclopoid copepod,0.80,,FIA,MC,GD,"Ivankina, E.A., A.L. Alekseeva, V.F. Semeshin, L.V. Omelyanchuk, I.G. Palchikova, N.G. Sheveleva, S.V. Kirilchik, and I.F. Zhimulev (2013). Cytophotometric determination of genome size in two species of Cyclops of Lake Baikal (Crustacea: Copepoda, Cyclopo",,
Arthropoda,Crustacea,Copepoda,Cyclopoida,Cyclopidae,Mesocyclops longisetus,Cyclopoid copepod,0.89,,FD,SQ,"GD, OM","Rasch, E.M. and G.A. Wyngaard (1996). Differences in DNA levels during early cleavage stages of Mesocyclops edax and Mesocyclops longisetus (Crustacea, Copepoda). Molecular Biology of the Cell 7: 119A.","Rasch, E.M. and G.A. Wyngaard (1999). DNA levels prior to chromatin diminution in freshwater copepods (Crustacea). Molecular Biology of the Cell 10: 55A.","Wyngaard, G.A. and E.M. Rasch (2000). Patterns of genome size in the Copepoda. Hydrobiologia 417: 43-56."
Arthropoda,Crustacea,Copepoda,Cyclopoida,Cyclopidae,Mesocyclops ruttneri,Cyclopoid copepod,0.73,,FD,SQ,"GD, OM","Wyngaard, G.A. and E.M. Rasch (2000). Patterns of genome size in the Copepoda. Hydrobiologia 417: 43-56.",,
Arthropoda,Crustacea,Copepoda,Cyclopoida,Cyclopidae,Mesocyclops woutersi,Cyclopoid copepod,0.38,,FD,SQ,"GD, OM","Wyngaard, G.A. and E.M. Rasch (2000). Patterns of genome size in the Copepoda. Hydrobiologia 417: 43-56.",,
Arthropoda,Crustacea,Copepoda,Cyclopoida,Cyclopidae,Thermocyclops crassus,Cyclopoid copepod,0.42,,FD,SQ,"GD, OM","Wyngaard, G.A. and E.M. Rasch (2000). Patterns of genome size in the Copepoda. Hydrobiologia 417: 43-56.",,
Arthropoda,Crustacea,Copepoda,Cyclopoida,Oithonidae,Diothona culvata,Cyclopoid copepod,0.25,,FD,SQ,"GD, OM","Wyngaard, G.A. and E.M. Rasch (2000). Patterns of genome size in the Copepoda. Hydrobiologia 417: 43-56.",,
Arthropoda,Crustacea,Copepoda,Harpacticoida,Harpaticidae,Tigriopus californicus,Harpacticoid copepod,0.25,,FD,SQ,"GD, OM","Wyngaard, G.A. and E.M. Rasch (2000). Patterns of genome size in the Copepoda. Hydrobiologia 417: 43-56.",,
Arthropoda,Crustacea,Copepoda,Siphonostomatoida,Caligidae,Lepeophtheirus salmonis,Salmon louse,0.58,,FIA,SQ,GD,T.R. Gregory. Unpublished Data,,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Acanthogammaridae,Acanthogammarus godlewskii,Freshwater amphipod,8.32,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Acanthogammaridae,Acanthogammarus victorii,Freshwater amphipod,5.43,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Acanthogammaridae,Brachyuropus grewingkii,Freshwater amphipod,7.94,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Acanthogammaridae,Brandtia latissima,Freshwater amphipod,6.13,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Acanthogammaridae,Carinurus bicarinatus,Freshwater amphipod,7.24,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Acanthogammaridae,Cornugammarus maximus,Freshwater amphipod,5.94,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Acanthogammaridae,Diplacanthus brevispinus,Freshwater amphipod,5.82,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Acanthogammaridae,Dorogostaiskia parasitica,Freshwater amphipod,6.30,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Acanthogammaridae,Garjajewia cabanisi,Freshwater amphipod,10.57,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Acanthogammaridae,Hyalellopsis carinata,Freshwater amphipod,5.85,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Acanthogammaridae,Odontogammarus calcaratus,Freshwater amphipod,4.10,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Acanthogammaridae,Palicarinus puzylli,Freshwater amphipod,5.64,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Acanthogammaridae,Parapallasea borowskii,Freshwater amphipod,7.44,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Acanthogammaridae,Poekilogammarus pictoides,Freshwater amphipod,3.18,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca macrocephala,Amphipod,64.62,,FCM,G,GD,"Rees, D.J., F. Dufresne, H. Glﾃｩmet, and C. Belzile (2007). Amphipod genome sizes: first estimates for Arctic species reveal genomic giants. Genome 50: 151-158.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Aoridae,Aoroides columbiae,Marine amphipod,5.10,,FD,WB,NS (V),"Bachmann, K. and E.L. Rheinsmith (1973). Nuclear DNA amounts in Pacific Crustacea. Chromosoma 43: 225-236.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Aoridae,Arctolembos arcticus,Amphipod,16.09,,FCM,G,GD,"Rees, D.J., F. Dufresne, H. Glﾃｩmet, and C. Belzile (2007). Amphipod genome sizes: first estimates for Arctic species reveal genomic giants. Genome 50: 151-158.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Baikalogammaridae,Baikalogammarus pullus,Freshwater amphipod,2.15,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Caprellidae,Caprella equilibra,Skeleton shrimp,0.68,24.00,FCM,EM,GD,"Libertini, A., R. Trisolini, and A.-K. Eriksson-Wiklund (2003). A preliminary survey on genome size in Amphipoda. XIth International Colloquium on Amphipoda, Tunis, Tunisia, March 25-30 : 17.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Caprellidae,Caprella scaura,Skeleton shrimp,0.74,24.00,FCM,EM,GD,"Krapp, T., C. Lang, A. Libertini, and R.R. Melzer (2006). Caprella scaura Templeton, 1836 sensu lato (Amphipoda: Caprellidae) in the Mediterranean. Organisms Diversity & Evolution 6 (Electronic Supplement 3): 1-18.","Krapp, T., C. Lang, A. Libertini, and R.R. Melzer (2006). Caprella scaura Templeton, 1836 sensu lato (Amphipoda: Caprellidae) in the Mediterranean. Organisms Diversity & Evolution 6: 77-81.",
Arthropoda,Crustacea,Malacostraca,Amphipoda,Crypturopodidae,Crypturopus inflatus,Freshwater amphipod,4.93,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Crypturopodidae,Echiuropus macronychus,Freshwater amphipod,3.33,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Epimeriidae,Epimeria loricata,Amphipod,13.49,,FCM,G,GD,"Rees, D.J., F. Dufresne, H. Glﾃｩmet, and C. Belzile (2007). Amphipod genome sizes: first estimates for Arctic species reveal genomic giants. Genome 50: 151-158.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Eulimnogammaridae,Eucarinogammarus wagii,Freshwater amphipod,5.39,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Eulimnogammaridae,Eulimnogammarus cyaneus,Freshwater amphipod,3.82,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Eulimnogammaridae,Eulimnogammarus czerskii,Freshwater amphipod,5.69,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Eulimnogammaridae,Eulimnogammarus marituji,Freshwater amphipod,3.77,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Eulimnogammaridae,Eulimnogammarus melanochlorus,Freshwater amphipod,4.22,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Eulimnogammaridae,Eulimnogammarus similis,Freshwater amphipod,4.72,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Eulimnogammaridae,Eulimnogammarus verrucosus,Freshwater amphipod,6.10,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Eulimnogammaridae,Eulimnogammarus violaceus,Freshwater amphipod,5.65,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Eulimnogammaridae,Eulimnogammarus vittatus,Freshwater amphipod,3.95,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Eulimnogammaridae,Sluginella kietlinskii,Freshwater amphipod,16.63,,FIA,G,GD,"Jeffery, N.W., L. Yampolsky, and T.R. Gregory (2016). Nuclear DNA content correlates with depth, body size, and diversification rate in amphipod crustaceans from ancient Lake Baikal, Russia. Genome, in press.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Eusiridae,Rachotropis aculeata,Amphipod,7.16,,FCM,G,GD,"Rees, D.J., F. Dufresne, H. Glﾃｩmet, and C. Belzile (2007). Amphipod genome sizes: first estimates for Arctic species reveal genomic giants. Genome 50: 151-158.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Gammaridae,Gammarus lacustris,Amphipod,14.06,,FCM,WB,HA,"Vergilino, R., K. Dionne, C. Nozais, F. Dufresne, and C. Belzile (2012). Genome size differences in Hyalella cryptic species. Genome 55: 134-139.",,
Arthropoda,Crustacea,Malacostraca,Amphipoda,Gammaridae,Gammarus sp.,Freshwater amphipod,2.17,,FD,WB,NS (V),"Rheinsmith, E.L., R. Hinegardner, and K. Bachmann (1974). Nuclear DNA amounts in Crustacea. Comparative Biochemistry and Physiology 48B: 343-348.",,
